Comparison,Stage 1 Model,Stage 2 Model,level_2,Stage 1 Time (s),S1 Accuracy,S1 Precision,S1 Recall,S1 F1 Score,S1 Confusion Matrix,Stage 2 Time (s),S2 Accuracy,S2 Precision,S2 Recall,S2 F1 Score,S2 Confusion Matrix,Combined Accuracy,Combined Precision,Combined Recall,Combined F1 Score,Combined Confusion Matrix,Test Dataset,level_1,S1 Train Time (s),S1 Test Time (s),S2 Train Time (s),S2 Test Time (s),Feature Count,Features
Classification Results,Naive Bayes,Naive Bayes,other,3.20446,0.94,0.9259,0.94,0.9323,[[6017065 131240] [ 255278 38048]],0.14744,0.3242,0.9736,0.3242,0.4585,[[ 50500 114344] [ 56 4388]],0.9368,0.9263,0.9368,0.9284,[[6017065 37452 93788] [ 229778 13048 20556] [ 25500 56 4388]],,,,,,,,
Classification Results,Naive Bayes,Random Forest (Gini),self,3.50884,0.9382,0.9311,0.9382,0.9344,[[5982369 165936] [ 232111 61215]],27.60748,0.9986,0.9987,0.9986,0.9986,[[221010 319] [ 0 5822]],0.9382,0.9335,0.9382,0.9346,[[5982369 165617 319] [ 207989 55393 0] [ 24122 0 5822]],,,,,,,,
Classification Results,Naive Bayes,Random Forest (Gini),other,3.20446,0.94,0.9259,0.94,0.9323,[[6017065 131240] [ 255278 38048]],30.17026,0.998,0.9982,0.998,0.9981,[[164508 336] [ 0 4444]],0.94,0.9283,0.94,0.9324,[[6017065 130904 336] [ 229778 33604 0] [ 25500 0 4444]],,,,,,,,
Classification Results,Random Forest (Gini),Decision Tree (Gini),self,1925.22833,1.0,1.0,1.0,1.0,[[6148283 22] [ 147 293179]],1.41484,1.0,1.0,1.0,1.0,[[263256 3] [ 2 29940]],1.0,1.0,1.0,1.0,[[6148283 22 0] [ 145 263234 3] [ 2 2 29940]],,,,,,,,
Classification Results,Random Forest (Gini),Decision Tree (Gini),other,1905.38074,0.9999,0.9999,0.9999,0.9999,[[6148253 52] [ 481 292845]],1.7578,0.9999,0.9999,0.9999,0.9999,[[262956 16] [ 9 29916]],0.9999,0.9999,0.9999,0.9999,[[6148253 42 10] [ 462 262914 6] [ 19 9 29916]],,,,,,,,
Classification Results,Random Forest (Gini),Gradient Boosting,self,1925.22833,1.0,1.0,1.0,1.0,[[6148283 22] [ 147 293179]],68.04941,0.9999,0.9999,0.9999,0.9999,[[263250 9] [ 6 29936]],1.0,1.0,1.0,1.0,[[6148283 21 1] [ 145 263229 8] [ 2 6 29936]],,,,,,,,
Classification Results,Random Forest (Gini),Gradient Boosting,other,1905.38074,0.9999,0.9999,0.9999,0.9999,[[6148253 52] [ 481 292845]],69.44947,0.9969,0.9969,0.9969,0.9969,[[262640 332] [ 562 29363]],0.9998,0.9998,0.9998,0.9998,[[6148253 39 13] [ 462 262601 319] [ 19 562 29363]],,,,,,,,
Classification Results,Random Forest (Gini),KNN (k=5),self,1925.22833,1.0,1.0,1.0,1.0,[[6148283 22] [ 147 293179]],2.11893,0.9999,0.9999,0.9999,0.9999,[[263240 19] [ 5 29937]],1.0,1.0,1.0,1.0,[[6148283 20 2] [ 145 263220 17] [ 2 5 29937]],,,,,,,,
Classification Results,Random Forest (Gini),KNN (k=5),other,1905.38074,0.9999,0.9999,0.9999,0.9999,[[6148253 52] [ 481 292845]],1.96799,0.9996,0.9996,0.9996,0.9996,[[262903 69] [ 43 29882]],0.9999,0.9999,0.9999,0.9999,[[6148253 39 13] [ 462 262864 56] [ 19 43 29882]],,,,,,,,
Classification Results,Random Forest (Gini),Logistic Regression,self,1925.22833,1.0,1.0,1.0,1.0,[[6148283 22] [ 147 293179]],3.96318,0.9206,0.913,0.9206,0.9154,[[255387 7872] [ 15421 14521]],0.9964,0.996,0.9964,0.9961,[[6148283 15 7] [ 145 255372 7865] [ 2 15421 14521]],,,,,,,,
Classification Results,Random Forest (Gini),Logistic Regression,other,1905.38074,0.9999,0.9999,0.9999,0.9999,[[6148253 52] [ 481 292845]],2.99564,0.9272,0.9229,0.9272,0.9246,[[254514 8458] [ 12864 17061]],0.9966,0.9964,0.9966,0.9965,[[6148253 41 11] [ 462 254473 8447] [ 19 12864 17061]],,,,,,,,
Classification Results,Random Forest (Gini),Naive Bayes,self,1925.22833,1.0,1.0,1.0,1.0,[[6148283 22] [ 147 293179]],0.16206,0.345,,0.345,0.4077,[[ 71671 191588] [ 462 29480]],0.9702,0.9957,0.9702,0.973,[[6148283 1 21] [ 145 71670 191567] [ 2 462 29480]],,,,,,,,
Classification Results,Random Forest (Gini),Naive Bayes,other,1905.38074,0.9999,0.9999,0.9999,0.9999,[[6148253 52] [ 481 292845]],0.14421,0.3423,,0.3423,0.4043,[[ 70803 192169] [ 457 29468]],0.97,0.9956,0.97,0.9728,[[6148253 3 49] [ 462 70800 192120] [ 19 457 29468]],,,,,,,,
Classification Results,Random Forest (Gini),Random Forest (Gini),self,1925.22833,1.0,1.0,1.0,1.0,[[6148283 22] [ 147 293179]],27.51724,1.0,1.0,1.0,1.0,[[263256 3] [ 0 29942]],1.0,1.0,1.0,1.0,[[6148283 21 1] [ 145 263235 2] [ 2 0 29942]],,,,,,,,
Classification Results,Random Forest (Gini),Random Forest (Gini),other,1905.38074,0.9999,0.9999,0.9999,0.9999,[[6148253 52] [ 481 292845]],29.8576,0.9999,0.9999,0.9999,0.9999,[[262958 14] [ 2 29923]],0.9999,0.9999,0.9999,0.9999,[[6148253 41 11] [ 462 262917 3] [ 19 2 29923]],,,,,,,,
Final Test Results,,,,,,,,,[[835100 3] [ 3 12287]],,1.0,1.0,1.0,1.0,[[9839 0] [ 0 2451]],,,,,[[835100 3 0] [ 3 9836 0] [ 0 0 2451]],test_1.csv,self,1753.36575,4.80655,25.95,0.02805,,
Final Test Results,,,,,,,,,[[835097 6] [ 16 12274]],,0.9998,0.9998,0.9998,0.9998,[[9826 3] [ 0 2451]],,,,,[[835097 3 3] [ 16 9823 0] [ 0 0 2451]],test_1.csv,other,1929.81008,4.62193,29.37385,0.02843,,
